Country,RMSE,MAE,MAPE,R²,AIC,BIC
Brunei Darussalam,0.00202286837122479,0.0016293337730936156,0.19747548672332124,0.2405006594023491,-227.15296053264495,-223.49633305804036
Bulgaria,0.023208923763422106,0.019001955334056225,2.3701199558920174,-12.920914014008826,-198.1571058290616,-194.50047835445702
Burkina Faso,0.027018767446697258,0.025694035891499996,5.819941480057745,-9.45314901303232,-64.4357080111252,-60.779080536520596
Burundi,0.012175025552371863,0.010362014568272928,2.466272284286566,-56.64548502257514,-151.02970395874533,-147.37307648414074
Cabo Verde,0.008317695822882545,0.007160583778473791,1.0900262926382382,-0.32422622121011035,-29.892096022563877,-26.235468547959275
Cambodia,0.0095635153813949,0.009062548032158304,1.5317142915043573,-0.10004430438356815,-208.99978181967305,-205.34315434506846
Cameroon,0.013845405583323174,0.01113758727228715,1.9115783988995736,-2.9007755533924793,-184.92554956731013,-181.26892209270554
Canada,0.003038469672407201,0.002265032261131474,0.24273608517062822,-0.3227561390549034,-218.41726466405885,-214.76063718945426
Central African Republic,0.01811380613444945,0.01712949259973557,4.4315657194515135,-8.581280489359049,-173.96965225591708,-170.3130247813125
Chad,0.0056838626013642046,0.004722148169314068,1.1948982914627164,-1.9755797170829767,-64.83698379478462,-61.18035632018001
Chile,0.01637974548490272,0.01306509593129165,1.5274089197993925,-18.563254531784732,-196.5042052760816,-192.847577801477
China,0.005801898191459981,0.003961875519942315,0.5065469958272734,0.8192593569384987,-250.41776534875686,-246.76113787415227
Colombia,0.02461639943375649,0.019230587840643163,2.538891671066022,-19.30943155474011,-204.79213356831036,-201.13550609370577
Comoros,0.006061735334329121,0.004439481235926175,0.7613077304099918,0.4970706346622201,-42.575222964392566,-38.91859548978796
Congo,0.025356910054232632,0.023405314797360632,3.9169494259487903,-38.880596819523674,-152.22992654822454,-148.57329907361995
Congo (Democratic Republic of the),0.009434703662712311,0.007110174718618111,1.49139172765703,-3.099312055410409,-205.1899676282275,-201.5333401536229
Costa Rica,0.004880268342429909,0.004031571073666822,0.4993618206239488,0.07231006708103882,-213.48268753056425,-209.82606005595966
Croatia,0.0081978238271416,0.006275908914140109,0.7253419567308285,0.05427585883352348,-20.73042804748252,-17.073800572877918
Cuba,0.0076561163069882,0.004754314057447465,0.6330236146184461,0.03617794348979997,-194.43918383837422,-190.78255636376963
Cyprus,0.009191299125819273,0.008727758797477494,0.9715493970518836,-0.3643767308483896,-208.98367616425236,-205.32704868964777
Czechia,0.003630566464426332,0.002961956117263322,0.33186181763325656,-2.3639043217616544,-209.01928934685083,-205.36266187224624
Côte d'Ivoire,0.020376273353657996,0.018602825627973663,3.5246286657432977,-3.8004797719128387,-192.99458958874146,-189.33796211413687
Denmark,0.0034105600689370505,0.002920744463597596,0.3086063038136322,-0.24446305503835397,-194.69666841456063,-191.04004093995604
Djibouti,0.01522670700596975,0.011379605641581494,2.2279446712713797,-0.7424505684105436,-60.561435060909304,-56.9048075863047
Dominica,0.019280157449225076,0.01826572444457762,2.4761063015824956,-1.7631218282886105,-19.857535384006304,-16.200907909401703
Dominican Republic,0.025315494077741217,0.020252601214068116,2.660983471750434,-59.85821275117698,-219.63647843719966,-215.97985096259507
Ecuador,0.03174790029780727,0.027458138741619446,3.6608758229202905,-8.389454276170333,-231.4445865320314,-227.7879590574268
Egypt,0.004926337509614268,0.00399763934727017,0.5539764657014926,0.7376056351118732,-228.3895349985097,-224.7329075239051
El Salvador,0.005405158959186931,0.004098114009640346,0.6087033478004339,-0.6646179364300648,-217.48153351945913,-213.82490604485454
Equatorial Guinea,0.036294717510559106,0.03184920261875157,4.900726823988406,-429.32012959595255,-37.072129083622606,-33.41550160901801
Eritrea,0.013458099287115438,0.011695704740763329,2.3944853750572808,-2.5442896903638097,-41.57455951021719,-37.917932035612594
Estonia,0.003565892101675622,0.0031572587821999992,0.35490461411129104,0.3719115548802062,-186.0412016249381,-182.38457415033352
Eswatini (Kingdom of),0.03768348978044746,0.02867423790276283,4.677844314936575,-11.319798990726131,-194.44357806882562,-190.78695059422103
Ethiopia,0.02060156474914536,0.01629291969689942,3.3393849924992796,-3.9211545280521127,-66.05766638024936,-62.401038905644754
Fiji,0.007246969357755558,0.006431778644081938,0.8859402794082986,-0.7435024923713736,-229.15544619825542,-225.49881872365083
Finland,0.0035648968699223955,0.0031521631521090727,0.33571082106383565,0.05073781255189369,-198.75021992205748,-195.0935924474529
France,0.002471613833755742,0.0020779878362429433,0.2301756804547892,0.6842459153824635,-203.27208135632654,-199.61545388172195
Gabon,0.02313001961759656,0.018199080923493045,2.6212372055861195,-17.832537764374948,-213.6143860269415,-209.9577585523369
Gambia,0.006701228595283556,0.00586223613064626,1.1988582956595342,0.30891433114759703,-218.36840184441257,-214.71177436980798
Georgia,0.013065669889826425,0.012095622758943205,1.4893560741557264,-5.994042436309432,-21.744423553473283,-18.08779607886868
Germany,0.0027168857107810096,0.002189627494188765,0.23085398683944347,0.2908001366532258,-221.17183033606355,-217.51520286145896
Ghana,0.0035996794132936013,0.0030935859624179963,0.5233859767040869,0.7345623319205696,-202.39257328362913,-198.73594580902454
Greece,0.004664020924993627,0.004031346568636669,0.4561177580844193,0.16985866958711793,-192.21907677805868,-188.5624493034541
Grenada,0.003488991125906325,0.0025620098397967717,0.323989928183833,-1.1456111322158282,-17.48764170421329,-13.831014229608687
Guatemala,0.008464426094548484,0.00646873995288915,1.0215025057037836,-1.573811544276822,-187.19389419888515,-183.53726672428056
Guinea,0.030414826676410867,0.026596313302361247,5.674637753239294,-146.16890391574813,-212.19128723288273,-208.53465975827814
Guinea-Bissau,0.003944965467465123,0.0029233244667392555,0.6055010839315397,-0.3013223113227341,-49.07406977970992,-45.417442305105325
Guyana,0.01895630694251695,0.01529772068017383,2.109816220459657,-0.4156405428563168,-188.77296244799007,-185.11633497338548
Haiti,0.010218864775927901,0.009719087024071173,1.7470323983501346,-8.95493126094609,-118.32305826195812,-114.66643078735352
Honduras,0.006640028806510942,0.0059545798878763035,0.959300102943854,-0.5932220833432578,-174.64634341720244,-170.98971594259785
"Hong Kong, China (SAR)",0.0039013778471522873,0.0034275647168234675,0.35957666001877353,0.6221799867242761,-204.780032657195,-201.1234051825904
Hungary,0.00790732653181089,0.0072971377655748825,0.858710041117142,-4.356232222296042,-196.95180548154775,-193.29517800694316
Iceland,0.0037038443622543953,0.002937849661451925,0.3070244794439211,-1.140779267294199,-193.37628388047207,-189.71965640586748
India,0.022910347359232495,0.018000712331022233,2.8220236264444813,-30.752242950510905,-218.49026976240353,-214.83364228779894
Indonesia,0.014081937020963005,0.010405832357423761,1.4649241781673195,-6.938518433705913,-194.65254063352344,-190.99591315891885
