Country,Human Development Index (value),Expected Years of Schooling (years),Mean Years of Schooling (years),Gross National Income Per Capita (2017 PPP$),Life Expectancy at Birth (years),Cluster
El Salvador,0.6244242424242424,11.245333333333333,5.626030303030303,6938.965212121213,69.70887878787879,0
Equatorial Guinea,0.42354545454545456,6.534787878787879,5.1906060606060604,12670.096212121212,56.06066666666666,5
Eritrea,0.25863636363636366,6.228696969696969,2.5953333333333335,1631.1350909090909,59.99084848484848,2
Estonia,0.8271818181818182,15.203606060606061,12.483030303030302,23841.323878787876,73.74315151515151,1
Eswatini (Kingdom of),0.5212121212121212,11.471787878787879,4.340909090909091,6509.34296969697,52.12921212121212,5
Ethiopia,0.2834242424242424,6.30769696969697,1.4681818181818183,1192.0187878787879,55.974909090909094,2
Fiji,0.685969696969697,12.629,8.996454545454545,9710.730575757576,66.82078787878788,1
Finland,0.895090909090909,17.597757575757576,11.742121212121212,41615.728696969694,79.06769696969697,3
France,0.8632121212121212,15.372848484848484,10.096969696969696,41203.76106060606,80.28918181818182,3
Gabon,0.6506969696969697,11.778424242424242,7.118484848484848,13757.851575757577,62.95312121212121,0
Gambia,0.4215151515151515,6.738181818181818,2.906030303030303,1968.1686666666667,58.83257575757575,4
Georgia,0.5349090909090909,13.80709090909091,8.664333333333333,8639.749212121213,70.88972727272727,1
Germany,0.9076666666666666,16.411454545454546,13.038424242424243,46340.37854545455,78.9869090909091,3
Ghana,0.5336969696969697,8.733484848484848,6.678242424242424,3495.396333333333,60.10224242424243,5
Greece,0.8431818181818181,16.31839393939394,9.659333333333333,29410.051636363638,79.45975757575758,3
Grenada,0.4959393939393939,15.992818181818183,6.176757575757576,10908.96193939394,73.61039393939394,1
Guatemala,0.5779090909090909,9.422090909090908,4.303636363636364,6979.527757575757,68.6170303030303,0
Guinea,0.3838484848484848,6.891575757575757,1.7253939393939395,1839.197,54.5520303030303,2
Guinea-Bissau,0.24863636363636363,8.798121212121213,1.7223333333333335,1701.356393939394,53.731848484848484,2
Guyana,0.618939393939394,10.975545454545454,6.8501515151515155,8655.410181818183,65.61448484848485,0
Haiti,0.5041515151515151,9.728939393939394,4.298484848484848,3051.2548787878786,59.29766666666667,5
Honduras,0.574,9.416,5.2749999999999995,4337.554242424243,69.57566666666666,0
"Hong Kong, China (SAR)",0.8706363636363637,14.151363636363637,10.869121212121211,46337.063606060605,81.90012121212122,3
Hungary,0.7981818181818182,14.391060606060607,10.98948484848485,22463.910787878787,73.09051515151515,1
